data,output
craigslist_data_wrangler_1,
craigslist_data_wrangler_2,"def transform_data(data):
    """"""
    Transform data by extracting numbers and reducing strings to their first word.
    """"""
    return [re.findall(r'\d+', str)[0] for str in data]
"
craigslist_data_wrangler_3,"def transform_data(data):
    """"""
    Transforms the input dataset by extracting the number and unit from the description.
    """"""
    transformed_data = []
    for item in data:
        # Extract the number and unit from the description
        number = re.search(r'\d+', item['description']).group()
        unit = re.search(r'[a-zA-Z]+', item['description']).group()
        
        # Create a new dictionary with the extracted information
        transformed_item = {'number': number, 'unit': unit}
        
        # Add the transformed item to the list
        transformed_data.append(transformed_item)
    
    return transformed_data
"
craigslist_data_wrangler_4,"def transform_data(data):
    """"""
    Transforms the input data by extracting the number and unit from the description.
    """"""
    transformed_data = []
    for item in data:
        # Extract the number and unit from the description
        number = re.search(r'\d+', item['description']).group()
        unit = re.search(r'[a-zA-Z]+', item['description']).group()
        # Create a new dictionary with the extracted data
        transformed_item = {'number': number, 'unit': unit}
        # Add the transformed item to the list
        transformed_data.append(transformed_item)
    return transformed_data
"
craigslist_data_wrangler_5,"def transform_data(data):
    """"""
    Transforms the input data by extracting the number and unit from the description.
    """"""
    transformed_data = []
    for item in data:
        # Extract the number and unit from the description
        number = re.search(r'\d+', item['description']).group()
        unit = re.search(r'[a-zA-Z]+', item['description']).group()
        # Create a new dictionary with the extracted data
        transformed_item = {'number': number, 'unit': unit}
        # Add the transformed item to the list
        transformed_data.append(transformed_item)
    return transformed_data
"
crime_data_wrangler_1,"def transform_data(data):
    """"""
    Transforms the given data list by moving the first element to the end,
    and then splitting the remaining elements into separate lists.
    """"""
    # Move first element to the end
    data.insert(len(data) - 1, data.pop(0))
    
    # Split remaining elements into separate lists
    return [data[i:i+2] for i in range(0, len(data), 2)]
"
crime_data_wrangler_2,"def transform_data(data):
    """"""
    Transforms the given data list into a new format.

    Parameters:
    data (list): The input data list.

    Returns:
    A new list with the transformed data.
    """"""
    # Step 1: Extract the first element of each sublist
    first_elements = [item[0] for item in data]

    # Step 2: Extract the remaining elements of each sublist
    remaining_elements = [item[1:] for item in data]

    # Step 3: Convert the remaining elements to a list of lists
    converted_elements = [list(item) for item in remaining_elements]

    # Step 4: Combine the first element and the converted elements
    combined_elements = [first_elements, converted_elements]

    # Step 5: Return the combined elements
    return combined_elements
"
crime_data_wrangler_3,"def transform_data(data):
    """"""
    Transforms the given data list into a new format.

    Parameters:
    data (list): The input data list.

    Returns:
    A new list with the transformed data.
    """"""
    # Step 1: Remove empty strings from the list
    data = [item for item in data if item != '']

    # Step 2: Split the list into sublists of 6 elements each
    chunks = [data[i:i+6] for i in range(0, len(data), 6)]

    # Step 3: Convert each sublist into a dictionary
    dictionaries = []
    for chunk in chunks:
        dictionaries.append({})
        for i in range(6):
            key = chunk[i]
            if i == 0:
                # Special case for the first element
                dictionaries[-1][key] = ''
            else:
                dictionaries[-1][key] = chunk[i-1]

    # Step 4: Return the list of dictionaries
    return dictionaries
"
crime_data_wrangler_4,"def transform_data(data):
    """"""
    Transforms the given data list into a new format.

    Parameters:
    data (list): The input data list.

    Returns:
    A new list with the transformed data.
    """"""
    # Step 1: Extract the first element of each sublist
    first_elements = [item[0] for item in data]

    # Step 2: Extract the remaining elements of each sublist
    remaining_elements = [item[1:] for item in data]

    # Step 3: Convert the remaining elements to a list of lists
    converted_elements = [list(item) for item in remaining_elements]

    # Step 4: Combine the first element and the converted elements
    combined_elements = [first_elements + item for item in converted_elements]

    # Step 5: Return the combined elements
    return combined_elements
"
crime_data_wrangler_5,"def transform_data(data):
    """"""
    Transforms the given data list into a new format.

    Parameters:
    data (list): The input data list.

    Returns:
    A new list with the transformed data.
    """"""
    # Step 1: Remove empty strings from the list
    data = [x for x in data if x != '']

    # Step 2: Split the list into sublists of 6 elements each
    chunks = [data[i:i+6] for i in range(0, len(data), 6)]

    # Step 3: Convert each sublist into a dictionary
    dictionaries = []
    for chunk in chunks:
        dictionaries.append({'State': chunk[0], 'Year': chunk[1], 'Crime rate': chunk[2], 'Population': chunk[3], 'Density': chunk[4], 'Change': chunk[5]})

    # Step 4: Flatten the list of dictionaries into a single list
    transformed_data = [x for y in dictionaries for x in y.values()]

    return transformed_data
"
