data,output
2_1," 
def transform_dataset(input_dataset):
    output_dataset = []
    row1 = input_dataset[0][:3]
    row2 = input_dataset[1][3:7]
    output_dataset.append(row1 + row2)
    return output_dataset
"
2_2," 
def transform_dataset(input_dataset):
    output_dataset = []
    for i in range(0, len(input_dataset), 2):
        row_1 = input_dataset[i]
        row_2 = input_dataset[i+1]
        combined_row = row_1[:3] + row_2[:5]
        output_dataset.append(combined_row)
    return output_dataset
 "
2_3," 
def transform_dataset(input_dataset):
    output_dataset = []
    for i in range(0, len(input_dataset), 2):
        output_dataset.append(input_dataset[i][:3] + input_dataset[i + 1][:4])
    return output_dataset
 "
2_4," 
def transform_dataset(input_dataset):
    output_dataset = []
    for i in range(0, len(input_dataset), 2):
        output_dataset.append(input_dataset[i][:3] + input_dataset[i+1][:4])
    return output_dataset
 "
2_5," 
def transform_input_to_output(input_dataset):
    output_dataset = []
    title_info = []

    for row in input_dataset:
        # If the row contains mostly empty fields, it's a title info
        if row.count('') > 3:
            title_info = row[:3]
        # Otherwise, it's a detail row to be appended to title info
        else:
            output_dataset.append(title_info + row[1:])

    return output_dataset
 "
3_1,"  
def transform_dataset(input_dataset):
    transformed_data = []
    shared_elements = []

    for row in input_dataset:
        if all(element == '' for element in row):
            continue

        if '' in row:
            shared_elements.append(row[0])
        else:
            transformed_row = shared_elements + row
            transformed_data.append(transformed_row)

    return transformed_data
 "
3_2,"  
def transform_dataset(input_dataset):
    output_dataset = []
    header_info = []

    for row in input_dataset:
        if '' not in row:
            if len(header_info) == 2:
                header_info.extend(row)
                output_dataset.append(header_info.copy())
                header_info = header_info[:2]
            else:
                output_dataset.append(header_info + row)
        else:
            non_empty = row[0] if row[0] else row[1]
            if len(header_info) < 2:
                header_info.append(non_empty)
            else:
                header_info[1] = non_empty
      
    return output_dataset
 "
3_3,"  
def transform_dataset(input_dataset):
    output_dataset = []
    current_entry = []

    for idx, pair in enumerate(input_dataset):
        if pair[0] and not pair[1]:
            # We are at the start of a new set of transactions for an account
            current_entry = [pair[0]]
        elif pair[1]:
            # We are at transaction level, check for description and append
            if len(current_entry) == 1:
                # Description follows the account number directly
                current_entry.append(pair[0])
            # Append date and value
            current_entry.extend(pair)
            output_dataset.append(current_entry.copy())
            # Preserve account number and description for next transaction
            current_entry = current_entry[:2]
    
    return output_dataset
 "
3_4,"  
def transform_dataset(input_dataset):
    output_dataset = []
    current_record = []
    for row in input_dataset:
        if row == ['', '']:
            continue
        elif row[0] and not row[1]:
            current_record = [row[0]]
        elif not row[0] and row[1]:
            current_record.append(row[1])
        elif row[0] and row[1]:
            # Ensure current_record has at least a size of 2 (ID + Description) before appending
            if len(current_record) >= 2:
                output_dataset.append(current_record + [row[0], row[1]])
            else:
                current_record.append(row[0])
                current_record.append(row[1])
    return output_dataset
 "
3_5,"  
def transform_dataset(input_dataset):
    output_dataset = []
    temp_record = []
    for record in input_dataset:
        if record[0] != '' and record[1] == '':
            temp_record = [record[0]]
        elif record[0] != '' and record[1] != '':
            temp_record.append(record[0])
            output_dataset.append(temp_record + [record[1]])
        elif record[0] == '' and record[1] != '':
            temp_record.append(record[1])
    return output_dataset
"
4_1,"  
def transform_dataset(input_dataset):
    output_dataset = []
    for record in input_dataset:
        output_dataset.extend([[record[0], value] for value in record[1:]])
    return output_dataset
 "
4_2,"  
def transform_dataset(input_dataset):
    output_dataset = []
    for item in input_dataset:
        brand = item[0]
        output_dataset.append([brand, item[1]])
        output_dataset.append([brand, item[2]])
    return output_dataset
 "
4_3,"  
def transform_dataset(input_dataset):
    output_dataset = []
    for row in input_dataset:
        brand = row[0]
        output_dataset.append([brand, row[1]])
        output_dataset.append([brand, row[2]])
    return output_dataset
 "
4_4,"  
def transform_dataset(input_dataset):
    output_dataset = []
    for row in input_dataset:
        brand, color, price = row
        output_dataset.append([brand, color])
        output_dataset.append([brand, price])
    return output_dataset
 "
4_5,"  
def transform_dataset(input_dataset):
    output_dataset = []
    for item in input_dataset:
        output_dataset.append([item[0], item[1]])
        output_dataset.append([item[0], item[2]])
    return output_dataset
 "
5_1,"  
def transform_dataset(input_dataset):
    header, data = input_dataset
    machines = data[0]
    hours = data[1:]
    output_dataset = [[machines, hour] for hour in hours]
    return output_dataset
 "
