data,output
potters_wheel_unfold2_1,"def transform_data(input_data):
    output_data = []
    for data in input_data:
        if data[0] == 'Latimer':
            output_data.append(data)
    return output_data"
potters_wheel_unfold2_2,"def transform_data(input_data):
    output_data = []
    temp_dict = {}
    
    for data in input_data:
        if data[0] in temp_dict:
            temp_dict[data[0]].append(data[1])
        else:
            temp_dict[data[0]] = [data[1]]
    
    for key, value in temp_dict.items():
        output_data.append([key] + value)
    
    return output_data

# Test the function with the provided input dataset
input_data = [['Latimer', 'George'], ['Latimer', 'Anna'], ['Smith', 'Joan'], ['Smith', 'Mary']]
print(transform_data(input_data))"
potters_wheel_unfold2_3,"def transform_data(input_data):
    output_data = []
    temp_dict = {}
    
    for item in input_data:
        if item[0] in temp_dict:
            temp_dict[item[0]].append(item[1])
        else:
            temp_dict[item[0]] = [item[1]]
    
    for key, value in temp_dict.items():
        while len(value) < 3:
            value.append('')
        output_data.append([key] + value)
    
    return output_data

# Test the function with the provided input dataset
input_data = [['Latimer', 'George'], ['Latimer', 'Anna'], ['Smith', 'Joan'], ['Smith', 'Mary'], ['Latimer', 'Bob']]
print(transform_data(input_data))"
potters_wheel_unfold2_4,"def transform_data(input_data):
    output_data = []
    temp_dict = {}
    
    for item in input_data:
        if item[0] not in temp_dict:
            temp_dict[item[0]] = [item[1], '', '']
        else:
            temp_dict[item[0]].append(item[1])
    
    for key, value in temp_dict.items():
        output_data.append([key] + value)
    
    return output_data

# Test the function with the provided input dataset
input_data = [['Latimer', 'George'], ['Latimer', 'Anna'], ['Smith', 'Joan'], ['Smith', 'Mary'], ['Latimer', 'Bob'], ['Stark', 'Eddard']]
print(transform_data(input_data))"
potters_wheel_unfold2_5,"```python
def transform_dataset(input_dataset):
    output_dataset = []
    temp_dict = {}
    
    for item in input_dataset:
        if item[0] in temp_dict:
            temp_dict[item[0]].append(item[1])
        else:
            temp_dict[item[0]] = [item[1]]
    
    for key, value in temp_dict.items():
        while len(value) < 4:
            value.append('')
        output_dataset.append([key] + value)
    
    return output_dataset

# Test the function with the provided input dataset
input_dataset = [['Latimer', 'George'], ['Latimer', 'Anna'], ['Smith', 'Joan'], ['Smith', 'Mary'], ['Latimer', 'Bob'], ['Stark', 'Eddard'], ['Lanister', 'Jaime'], ['Lanister', 'Cersei']]
print(transform_dataset(input_dataset))
```"
proactive_wrangling_fold_1,"def transform_dataset(input_data):
    output_data = []
    headers = input_data[0]
    for i in range(1, len(input_data[1])):
        output_data.append([input_data[1][0], headers[1], input_data[1][i]])
        output_data.append([input_data[1][0], headers[2], input_data[1][i]])
    return output_data

# Test the function with the provided input dataset
input_data = [['', 'Boys', 'Girls'], ['Australia', '1', '2']]
print(transform_dataset(input_data))"
proactive_wrangling_fold_2,"def transform_dataset(input_data):
    output_data = []
    headers = input_data[0][1:]
    countries = [row[0] for row in input_data[1:]]
    
    for country in countries:
        for header in headers:
            value = input_data[countries.index(country) + 1][headers.index(header) + 1]
            output_data.append([country, header, value])
    
    return output_data"
proactive_wrangling_fold_3,"def transform_dataset(input_data):
    output_data = []
    headers = input_data[0][1:]
    for i in range(1, len(input_data)):
        country = input_data[i][0]
        for j in range(1, len(input_data[i])):
            output_data.append([country, headers[j-1], input_data[i][j]])
    return output_data"
proactive_wrangling_fold_4,"```python
def transform_dataset(input_data):
    output_data = []
    headers = input_data[0]
    
    for i in range(1, len(input_data)):
        country = input_data[i][0]
        boys = input_data[i][1]
        girls = input_data[i][2]
        
        output_data.append([country, headers[1], boys])
        output_data.append([country, headers[2], girls])
    
    return output_data

# Example input dataset
input_dataset = [['', 'Boys', 'Girls'], ['Australia', '1', '2'], ['Austria', '3', '4'], ['Belgium', '5', '6'], ['China', '7', '8']]

# Applying the transformation function
output_dataset = transform_dataset(input_dataset)

print(output_dataset)
```"
proactive_wrangling_fold_5,"```python
def transform_dataset(input_dataset):
    output_dataset = []
    headers = input_dataset[0]
    
    for i in range(1, len(input_dataset)):
        country = input_dataset[i][0]
        boys = input_dataset[i][1]
        girls = input_dataset[i][2]
        
        output_dataset.append([country, headers[1], boys])
        output_dataset.append([country, headers[2], girls])
    
    return output_dataset

# Example input dataset
input_dataset = [['', 'Boys', 'Girls'], ['Australia', '1', '2'], ['Austria', '3', '4'], ['Belgium', '5', '6'], ['China', '7', '8'], ['France', '1', '1']]

# Applying the transformation function
output_dataset = transform_dataset(input_dataset)

# Print the output dataset
print(output_dataset)
```"
