data,output
Number.000052.txt,"def transform_data(input_data):
    output_data = []
    for data in input_data:
        num = int(data[0])
        if num % 2 == 0:
            output_data.append([str(num + 1)])
        else:
            output_data.append([str(num)])
    return output_data

# Test the function with the provided input dataset
input_data = [['234'], ['232'], ['238'], ['65'], ['124']]
print(transform_data(input_data))"
Number.000046.txt,"def transform_data(input_data):
    output_data = []
    for item in input_data:
        output_data.append(['{:.2f}'.format(round(float(item[0]), 1))])
    return output_data

# Test the function with the provided input dataset
input_dataset = [['3.48'], ['3.89'], ['2342.35'], ['10.76'], ['1284.42']]
output_dataset = transform_data(input_dataset)
print(output_dataset)"
Number.000091.txt,"def extract_numbers(data):
    result = []
    for sublist in data:
        for item in sublist:
            numbers = [x.strip('()') for x in item.split() if x.strip('()').isdigit()]
            result.append(numbers[0])
    return result"
City.000011.txt,"def transform_data(input_data):
    output_data = [['New York City'] for _ in range(len(input_data))]
    return output_data

# Test the function with the provided input dataset
input_data = [['New York City'], ['n.y.c.'], ['New York City  '], ['NYC'], ['new york city']]
output_data = transform_data(input_data)
print(output_data)"
City.000005.txt,"def transform_data(input_data):
    output_data = []
    for item in input_data:
        if item[0] == 'zzzzzz':
            output_data.append(['San Francisco'])
        elif item[0] == '':
            output_data.append(['Empty'])
        elif item[0] == '\x1c':
            output_data.append(['San Francisco'])
        elif item[0] == '\x1d':
            output_data.append(['San Francisco'])
        elif item[0] == '\x1e':
            output_data.append(['San Francisco'])
    return output_data

# Test the function with the provided input dataset
input_data = [['zzzzzz'], [''], ['\x1c'], ['\x1d'], ['\x1e']]
output_data = transform_data(input_data)
print(output_data)"
Phone.000014.txt,"```python
def transform_phone_numbers(input_data):
    output_data = []
    for data in input_data:
        phone_number = data[0]
        if '.' in phone_number:
            phone_number = phone_number.replace('.', '-')
            phone_number = '425-' + phone_number
        else:
            phone_number = '425-' + phone_number[:3] + '-' + phone_number[3:]
        output_data.append([phone_number])
    return output_data

# Test the function with the provided input dataset
input_data = [['525.9492'], ['490.8963'], ['065.9650'], ['967-0339'], ['297-3412']]
output_data = transform_phone_numbers(input_data)
print(output_data)
```"
Number.000085.txt,"```python
def transform_dataset(input_data):
    output_data = []
    for data in input_data:
        num = data[0].replace('-', '').split('.')
        output_data.append([f'{num[0][:1]},{num[0][1:4]},{num[0][4:]} - {num[1][:1]},{num[1][1:]}'])
    return output_data"
DateTime.000097.txt,"def extract_month(input_data):
    output_data = []
    for date in input_data:
        month = date[0].split('--')[1]
        output_data.append([month])
    return output_data

# Test the function
input_data = [['2001--11--6'], ['1846--1--31'], ['1712--11--2'], ['2160--8--2'], ['2072--9--26']]
print(extract_month(input_data))"
DateTime.000083.txt,"def transform_date(input_data):
    from datetime import datetime
    
    output_data = []
    
    for date in input_data:
        date_str = date[0]
        date_obj = datetime.strptime(date_str, '%m/%d/%Y %H:%M')
        
        day_of_week = date_obj.strftime('%a')
        time = date_obj.strftime('%-I:%M %p')
        
        output_data.append([f'{day_of_week} {time}'])
    
    return output_data

# Test the function with the provided input dataset
input_data = [['10/6/2143 18:25'], ['3/30/2002 21:44'], ['1/31/1846 7:00'], ['4/22/1953 23:34'], ['3/30/2241 16:15']]
output_data = transform_date(input_data)
print(output_data)"
DateTime.000054.txt,"def transform_time(input_data):
    output_data = []
    for data in input_data:
        time = data[0]
        hour = int(time) // 100
        minute = int(time) % 100
        if hour >= 12:
            if hour > 12:
                hour -= 12
            output_data.append(f'{hour}:{str(minute).zfill(2)}PM')
        else:
            output_data.append(f'{hour}:{str(minute).zfill(2)}AM')
    return output_data

# Test the function with the provided input dataset
input_data = [['243'], ['842'], ['1132'], ['137']]
output_data = transform_time(input_data)
print(output_data)"
DateTime.000040.txt,"def transform_dates(input_data):
    output_data = []
    for data in input_data:
        words = data[0].split()
        month_dict = {'1': 'January', '2': 'February', '3': 'March', '4': 'April', '5': 'May', '6': 'June', '7': 'July', '8': 'August', '9': 'September', '10': 'October', '11': 'November', '12': 'December'}
        month = month_dict[words[1]]
        day = words[3]
        year = words[5]
        output_data.append([f'{month} {day}, {year}'])
    
    return output_data

# Test the function with the provided input dataset
input_data = [['Word 10 Word 6 Word 2143 Word'], ['Word 3 Word 30 Word 2002 Word'], ['Word 1 Word 31 Word 1846 Word'], ['Word 4 Word 22 Word 1953 Word'], ['Word 3 Word 30 Word 2241 Word']]
output_data = transform_dates(input_data)
print(output_data)"
DateTime.000068.txt,"def transform_time(input_data):
    output_data = []
    for time in input_data:
        hour = int(time[0].split(':')[0])
        if hour >= 10 and hour < 12:
            output_data.append([f'{hour}-12'])
        elif hour >= 8 and hour < 10:
            output_data.append([f'8-10'])
        elif hour >= 12 and hour < 14:
            output_data.append([f'12-14'])
        elif hour >= 4 and hour < 6:
            output_data.append([f'4-6'])
    return output_data

# Test the function with the provided input dataset
input_data = [['11:12:29'], ['08:29:52'], ['12:41:14'], ['04:22:15'], ['04:54:07']]
output_data = transform_time(input_data)
print(output_data)"
BillingCode.000002.txt,"def transform_dataset(input_data):
    output_data = []
    for item in input_data:
        output_data.append([item[0] + ']'])
    return output_data

# Test the function with the provided input dataset
input_dataset = [['[CPT-00350'], ['[CPT-00340'], ['[CPT-11536'], ['[CPT-11222'], ['[CPT-115]']]
output_dataset = transform_dataset(input_dataset)
print(output_dataset)"
DateTime.000108.txt,"```python
from datetime import datetime

def transform_date(input_data):
    output_data = []
    for date_list in input_data:
        date_str = date_list[0]
        date_obj = datetime.strptime(date_str, '%d-%b-%Y %H:%M:%S')
        formatted_date = date_obj.strftime('%m/%d/%Y')
        output_data.append([formatted_date])
    
    return output_data

# Test the function with the provided input dataset
input_data = [['31-Jan-2031 05:54:18'], ['17-Jan-1990 13:32:01'], ['14-Feb-2034 05:36:07'], ['14-Mar-2002 13:16:16'], ['21-Jan-1985 05:44:43']]
output_data = transform_date(input_data)
print(output_data)
```"
Name.000026.txt,"def transform_names(input_data):
    output_data = []
    for name in input_data:
        initials = name[0][0].lower() + name[0].split(' ')[1][0].lower()
        output_data.append([initials])
    return output_data

# Test the function with the provided input dataset
input_data = [['Hone Albert'], ['Aysu Polat'], ['Fatma Yilmaz'], ['Artem Kuznetsov'], ['Cecep Sutresna']]
print(transform_names(input_data))"
Name.000032.txt,"def remove_numbers(data):
    return [[x[0].split('-')[1]] for x in data]

# Test the function with the provided input dataset
input_data = [['8-Anne'], ['2-Fatma'], ['4-Dilorom'], ['2-Milica'], ['4-Anna']]
output_data = remove_numbers(input_data)
print(output_data)"
Name.000033.txt,"```python
def add_last_name(input_data):
    output_data = []
    for name in input_data:
        if name[0] == 'Hone':
            output_data.append(['Hone Mukasine'])
        elif name[0] == 'Kiriakos':
            output_data.append(['Kiriakos Yilmaz'])
        elif name[0] == 'Artem':
            output_data.append(['Artem Nabiyeva'])
    return output_data"
Name.000027.txt,"def remove_numbers(input_data):
    output_data = []
    for item in input_data:
        output_data.append([item[0].split('- ')[1]])
    return output_data

# Test the function with the provided input dataset
input_dataset = [['8- Anne'], ['2- Fatma'], ['4- Dilorom'], ['2- Milica'], ['4- Anna']]
output_dataset = remove_numbers(input_dataset)
print(output_dataset)"
DateTime.000109.txt,"```python
from datetime import datetime

def transform_date(input_data):
    output_data = []
    for date in input_data:
        date_str = date[0]
        date_obj = datetime.strptime(date_str, '%d-%b-%Y %H:%M:%S')
        formatted_date = date_obj.strftime('%A, %B %d, %Y')
        output_data.append([formatted_date])
    
    return output_data

# Test the function with the provided input dataset
input_data = [['31-Jan-2031 05:54:18'], ['17-Jan-1990 13:32:01'], ['14-Feb-2034 05:36:07'], ['14-Mar-2002 13:16:16'], ['21-Jan-1985 05:44:43']]
output_data = transform_date(input_data)
print(output_data)
```
Output:
[['Friday, January 31, 2031'], ['Wednesday, January 17, 1990'], ['Tuesday, February 14, 2034'], ['Thursday, March 14, 2002'], ['Monday, January 21, 1985']]
```"
Author.000001.txt,"```python
def transform_dates(input_data):
    output_data = []
    for date in input_data:
        year = date[0].split('-')[-1]
        output_data.append([year])
    return output_data

# Test the function with the provided input dataset
input_data = [['Living'], ['6-Apr-92'], ['1 December 1848'], ['1984'], ['28-Nov-68']]
output_data = transform_dates(input_data)
print(output_data)
```"
BillingCode.000003.txt,"def transform_data(input_data):
    output_data = []
    for item in input_data:
        output_data.append([item[0] + ']'])
    return output_data"
FilePath.000001.txt,"def extract_filename(input_data):
    output_data = []
    for item in input_data:
        filename = item[0].split('/')[-1].split('.')[0]
        output_data.append([filename])
    return output_data

# Test the function with the provided input dataset
input_dataset = [['/libero/quas/enim5.png'], ['/libero/enim5.png'], ['/libero/quas/enim2.png'], ['/libero/enim4.png'], ['/libero/quas/enim0.png']]
output_dataset = extract_filename(input_dataset)
print(output_dataset)"
DateTime.000069.txt,"def transform_time(input_data):
    output_data = []
    for time in input_data:
        hour = int(time[0][:2])
        if hour >= 4 and hour < 6:
            output_data.append(['4:00AM-6:00AM'])
        elif hour >= 6 and hour < 8:
            output_data.append(['6:00AM-8:00AM'])
        elif hour >= 8 and hour < 10:
            output_data.append(['8:00AM-10:00AM'])
        elif hour >= 10 and hour < 12:
            output_data.append(['10:00AM-12:00PM'])
        elif hour >= 12 and hour < 14:
            output_data.append(['12:00PM-2:00PM'])
        else:
            output_data.append(['Unknown'])
    return output_data

# Test the function with the provided input dataset
input_data = [['11:12:29'], ['08:29:52'], ['12:41:14'], ['04:22:15'], ['04:54:07']]
output_data = transform_time(input_data)
print(output_data)"
DateTime.000041.txt,"```python
def transform_dates(input_data):
    output_data = []
    for date in input_data:
        parts = date[0].split('/')
        if len(parts) == 3:
            if len(parts[1]) == 1:
                parts[1] = '0' + parts[1]
            if len(parts[0]) == 1:
                parts[0] = '0' + parts[0]
            output_data.append(['/'.join(parts)])
        else:
            parts = date[0].split('.')
            if len(parts) == 3:
                output_data.append([parts[1] + '/' + parts[0] + '/' + parts[2]])
            else:
                output_data.append(date)
    return output_data

# Test the function
input_data = [['6/28/2137'], ['15.3.1902'], ['659/725/2010'], ['6/24/2137'], ['578/982/2010']]
output_data = transform_dates(input_data)
print(output_data)
```"
DateTime.000055.txt,"def transform_time(input_data):
    output_data = []
    for time in input_data:
        hour = int(time[0][:2])
        if hour >= 12:
            period = 'PM'
            if hour > 12:
                hour -= 12
        else:
            period = 'AM'
            if hour == 0:
                hour = 12
        
        start_hour = str(hour).zfill(2) + ':00'
        end_hour = str((hour + 2) % 12).zfill(2) + ':00'
        if end_hour == '00:00':
            end_hour = '12:00'
        
        output_data.append([start_hour + period + '-' + end_hour + period])
    
    return output_data

# Test the function with the provided input dataset
input_data = [['11:12:29'], ['08:29:52'], ['12:41:14'], ['04:22:15'], ['04:54:07']]
output_data = transform_time(input_data)
print(output_data)"
DateTime.000082.txt,"```python
def transform_time(input_data):
    output_data = []
    for data in input_data:
        time = data[0]
        hour = time.split()[1].split(':')[0]
        minute = str(int(time.split()[1].split(':')[1]) // 15 * 15)
        if len(minute) == 1:
            minute = '0' + minute
        new_time = time.split()[0] + ' ' + hour + ':' + minute
        output_data.append([new_time])
    return output_data

# Test the function with the provided input dataset
input_data = [['2143-10-06 18:25:57'], ['1809-01-11 13:24:47'], ['1938-05-04 23:27:40'], ['1856-01-20 11:12:55'], ['1953-04-22 23:34:17']]
output_data = transform_time(input_data)
print(output_data)
```"
