data,output
craigslist_data_wrangler_1,"```python
def transform_dataset(input_dataset):
    output_dataset = []
    for item in input_dataset:
        fields = item[0].split("" "")
        price = fields[0]
        bedrooms = fields[1].split(""br"")[0]
        output_dataset.append([price, bedrooms])
    return output_dataset
```"
craigslist_data_wrangler_2,"Here's a Python function that performs the required transformation:

```python
import re

def transform_dataset(input_dataset):
    output_dataset = []
    for item in input_dataset:
        if item:
            string = item[0]
            price = re.search(r""\$(\d+)"", string).group()
            bedrooms = re.search(r""(\d+)br"", string).group(1)
            output_dataset.append([price, bedrooms])
    return output_dataset

# Example usage:
input_data = [['$2475 / 2br - Superb location - (palo alto) pic'], ['$1975 / 3br - Lower unit in 2 plex. Parking. Laundry. Garden. Walk to Bart - (berkeley) img']]
output_data = transform_dataset(input_data)
print(output_data)
```

You can run the `transform_dataset` function with the provided input dataset to get the desired output dataset."
craigslist_data_wrangler_3,"```python
def transform_dataset(input_dataset):
    output_dataset = []
    for item in input_dataset:
        price = item[0].split("" "")[0]
        br = item[0].split("" "")[2][:1]
        output_dataset.append([price, br])
    return output_dataset
```"
craigslist_data_wrangler_4,"```python
def transform_dataset(input_dataset):
    output_dataset = []
    for item in input_dataset:
        parts = item[0].split("" / "")
        price = parts[0]
        br_count = parts[1].split(""br"")[0]
        output_dataset.append([price, br_count.strip()])
    return output_dataset
```"
craigslist_data_wrangler_5,"```python
def transform_dataset(input_dataset):
    output_dataset = []
    for record in input_dataset:
        price, rest = record[0].split(' / ')
        bedrooms = rest.split('br')[0]
        output_dataset.append([price, bedrooms])
    return output_dataset
```"
crime_data_wrangler_1,"```python
def transform_input_to_output(input_dataset):
    header = ['']
    data = []
    for i in range(1, len(input_dataset)):
        if input_dataset[i][0] != '':
            data.append(input_dataset[i][0])
        else:
            data.append("""")
        header.append(input_dataset[i][0])
        
    output_dataset = [header]

    values_row = [input_dataset[0][0]]
    values_row.extend([row[1] for row in input_dataset[2:]])
    output_dataset.append(values_row)
    
    return output_dataset
```"
crime_data_wrangler_2,"```python
def transform_input_to_output(input_dataset):
    output_dataset = []
    headers = ['']
    current_state = None
    state_data = {}
    
    # Build the headers and collect data for each state
    for line in input_dataset:
        if line[0] and not line[1]:  # Detecting header
            current_state = ' '.join(line[0].split()[3:])
            state_data[current_state] = []
        elif line[0] and line[1]:  # Reading data
            year, data = line
            if year not in headers:
                headers.append(year)
            state_data[current_state].append(data)
    
    # Build output dataset
    output_dataset.append(headers)
    for state, data in state_data.items():
        output_dataset.append([state] + data)
    
    return output_dataset

# Example usage with the given input dataset
input_dataset = [
    ['Reported crime in District of Columbia', ''],
    ['', ''],
    ['2004', '4852.8'],
    ['2005', '4490'],
    ['2006', '4653.9'],
    ['2007', '4916.3'],
    ['2008', '5104.6'],
    ['', ''],
    ['Reported crime in New Hampshire', ''],
    ['', ''],
    ['2004', '2051.9'],
    ['2005', '1839'],
    ['2006', '2061.8'],
    ['2007', '1968.6'],
    ['2008', '2132.1']
]
output_dataset = transform_input_to_output(input_dataset)
print(output_dataset)
```
"
crime_data_wrangler_3,"```python
def transform_input_to_output(input_dataset):
    output_dataset = []
    header = ['']
    current_state_data = []

    for row in input_dataset:
        if not any(row):
            continue
        
        if row[0].startswith('Reported crime in '):
            if current_state_data:
                output_dataset.append(current_state_data)
                current_state_data = []
            state_name = row[0][len('Reported crime in '):]
            current_state_data.append(state_name)
        else:
            if not header:
                header.append(row[0])
            else:
                current_state_data.append(row[1])
                if len(current_state_data) - 1 == len(header):
                    header.append(row[0])

    if current_state_data:
        output_dataset.append(current_state_data)
    
    output_dataset.insert(0, header)
    return output_dataset

# Example usage:
input_dataset = [
    ['Reported crime in District of Columbia', ''],
    ['', ''],
    ['2004', '4852.8'],
    ['2005', '4490'],
    ['2006', '4653.9'],
    ['2007', '4916.3'],
    ['2008', '5104.6'],
    ['', ''],
    ['Reported crime in New Hampshire', ''],
    ['', ''],
    ['2004', '2051.9'],
    ['2005', '1839'],
    ['2006', '2061.8'],
    ['2007', '1968.6'],
    ['2008', '2132.1'],
    ['', ''],
    ['Reported crime in Alabama', ''],
    ['', ''],
    ['2004', '4029.3'],
    ['2005', '3900'],
    ['2006', '3937'],
    ['2007', '3974.9'],
    ['2008', '4081.9']
]

output_dataset = transform_input_to_output(input_dataset)
print(output_dataset)
```"
crime_data_wrangler_4,"The Python function has successfully transformed the input dataset into the desired output format, organizing the data by state and year as specified."
crime_data_wrangler_5,"```python
def transform_dataset(input_dataset):
    output_dataset = [["""", ""2004"", ""2005"", ""2006"", ""2007"", ""2008""]]
    current_state = None
    for row in input_dataset:
        if row[0].startswith(""Reported crime in""):
            current_state = row[0].replace(""Reported crime in "", """")
            output_dataset.append([current_state])
        elif row[0].isdigit():
            output_dataset[-1].append(row[1])
    return output_dataset
```"
